Cynocephalus_volans Philippine_flying_lemur
Galeopterus_variegatus Sunda_flying_lemur
Ornithorhynchus_anatinus Platypus
Allenopithecus_nigroviridis Allen_swamp_monkey
Lepilemur_hubbardorum Hubbard_sportive_lemur
Nycticebus_coucang Sunda_slow_loris
Pan_troglodytes Chimpanzee
Tarsius_bancanus Horsfield_tarsier
Carlito_syrichta Philippine_tarsier
Cynopterus_brachyotis Lesser_short_nosed_fruit_bat
Epomophorus_wahlbergi Wahlberg_epauletted_fruit_bat
Lasiurus_cinereus Hoary_bat
Myotis_lucifugus Little_brown_bat
Pteropus_dasymallus Ryukyu_flying_fox
Rhinolophus_ferrumequinum Greater_horseshoe_bat
Pteromyini_Aeretesmelanopterus Groove_toothed_flying_squirrel
Pteromyini_Glaucomysvolans Southern_flying_squirrel
Pteromyini_Hylopetesphayrei Indochinese_flying_squirrel 
Sciurini_Sciurusgranatensis Red_tailed_squirrel
Sciurini_Tamiasciurusdouglasii Douglas_squirrel
Sciurini_Sciurusniger Fox_squirrel
Troglodytes_schweinfurthii Eastern_chimpanzee
Pan_paniscus Bonobo
Pongo_pygmaeus Orangutans
Pongo_abelii Sumatran_orangutan
