# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Apr 30 11:20:19 CDT 2022 [seed=1651335618860]
# 16s_species.xml
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-49561.173562246826	-22.72641171530114	-49538.44715053152	3.55307215413648	10.699388443938552	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	1.0	-49538.44715053152	0.0	-22.65281115061476
1000	-39331.796516034236	-28.312770708334128	-39303.4837453259	0.4968342699625655	3.779594338435694	1.2971803273024025	2.4501797606646267	0.2676968024820606	0.23505605851159195	0.24419874390804241	0.253048395098305	1.0	1.0	-39303.4837453259	0.0	-27.802643383731045
2000	-38161.953417900535	-20.488906606803784	-38141.46451129373	0.25655819888197906	2.79336900801443	0.8911032941028297	2.678593360227808	0.26818399055992115	0.2315844624926272	0.24419874390804241	0.25603280303940923	1.0	1.0	-38141.46451129373	0.0	-20.268517902076457
3000	-38087.60786680569	-20.973926821255098	-38066.63393998443	0.21861910127184384	2.659739569949512	1.2114557935810981	2.33376886968736	0.27829622795683945	0.21793427274453372	0.2435251156092745	0.2602443836893523	1.0	1.0	-38066.63393998443	0.0	-20.57685342026587
4000	-37699.56573988569	-18.377747018278463	-37681.18799286742	0.21485802773761212	2.562655367679278	0.6297611090974229	2.4668928671855337	0.28570975865296394	0.23599555433827596	0.214037375474505	0.2642573115342551	1.0	1.0	-37681.18799286742	0.0	-18.583866315874864
5000	-37563.5534731764	-21.413035059268427	-37542.14043811713	0.234441846449413	2.8351317593549457	0.8838233940952888	2.481324331814094	0.29117910099295957	0.23416700488096612	0.20228185280479788	0.2723720413212764	1.0	1.0	-37542.14043811713	0.0	-21.274756015257974
6000	-37523.49614497465	-19.872086986929453	-37503.62405798772	0.21726585689236416	2.6847200211887636	0.771966524885129	2.481324331814094	0.29156482684304663	0.23416700488096612	0.20033517121113129	0.27393299706485597	1.0	1.0	-37503.62405798772	0.0	-19.869124017625804
7000	-37181.69437483466	-20.725191646891798	-37160.96918318777	0.21420123898045468	2.6753789827097365	1.018934514117475	2.581444711576915	0.30261868025637934	0.24142014053266264	0.15941258525991245	0.29654859395104555	1.0	1.0	-37160.96918318777	0.0	-20.40690863901439
8000	-37085.58591136093	-21.085098596971033	-37064.50081276396	0.21439842311135782	2.713996787396488	0.9353513926980571	2.7066687288858335	0.31109042783106006	0.25389505711075805	0.13850991194258358	0.29650460311559834	1.0	1.0	-37064.50081276396	0.0	-20.80588448791189
9000	-37056.48453839216	-21.436433973562842	-37035.048104418594	0.21917470377818085	2.737324215795799	0.7105113786735033	2.746368661908027	0.31109042783106006	0.25830635810972347	0.12519689428587302	0.3054063197733435	1.0	1.0	-37035.048104418594	0.0	-21.417568308249848
10000	-37055.42664201309	-19.058271730767235	-37036.36837028232	0.2194899943077903	2.6257741596207205	0.834097367378465	2.6806023425290513	0.31780883259209997	0.2623738758772678	0.11813328421431296	0.30168400731631934	1.0	1.0	-37036.36837028232	0.0	-18.903250379076457
11000	-37053.396486513426	-18.561578267948214	-37034.83490824548	0.2244397543422528	2.598454409427034	0.7782447911099503	2.725029604756402	0.32067563847984654	0.2619532980175233	0.1192174651853437	0.2981535983172865	1.0	1.0	-37034.83490824548	0.0	-18.459488556289045
12000	-37051.217866058716	-19.12437742260214	-37032.093488636114	0.2162580283222453	2.601704457326078	0.7421180419455944	2.725029604756402	0.32874932341887164	0.2525317816170393	0.1205652966468026	0.2981535983172865	1.0	1.0	-37032.093488636114	0.0	-19.069820510467036
13000	-37051.390865456044	-20.483928543901182	-37030.90693691214	0.22092621820635475	2.687306647570108	1.0038469425425391	2.8232754333240053	0.3195615185722316	0.2588438203069597	0.11849159339649679	0.303103067724312	1.0	1.0	-37030.90693691214	0.0	-20.0914090588741
14000	-37052.14053812849	-21.00961664290108	-37031.130921485594	0.2174590821161086	2.600645086098113	1.1541243121729223	2.7033287180843453	0.32492712304794386	0.25385542731840766	0.12013545553641611	0.30108199409723246	1.0	1.0	-37031.130921485594	0.0	-20.521458533465374
15000	-37050.15580094118	-21.5153390593288	-37028.640461881856	0.21951352709402355	2.7464461722196227	0.9837431399607706	2.7033287180843453	0.3238186868401694	0.25704192197839515	0.12126325395421025	0.2978761372272253	1.0	1.0	-37028.640461881856	0.0	-21.186913287661902
16000	-37048.500736316615	-22.05768762075023	-37026.443048695866	0.21085830910977796	2.676716375922747	1.190811181217818	2.6224196896736207	0.3217442051021334	0.25697384056471273	0.1203795013694143	0.30090245296373963	1.0	1.0	-37026.443048695866	0.0	-21.568220350406847
17000	-37050.64026874101	-21.839199011542185	-37028.80106972947	0.2143911902988591	2.7327018045815703	0.6928937608151022	2.8233876650226364	0.32541999584255055	0.2564793259606099	0.1208740159735171	0.2972266622233225	1.0	1.0	-37028.80106972947	0.0	-21.817356967165637
18000	-37051.92695998303	-20.387971775588063	-37031.538988207445	0.21913420957738655	2.6848913015283524	0.8813473028218624	2.8260540027971954	0.31998128198033465	0.25541300070096457	0.1208740159735171	0.30373170134518374	1.0	1.0	-37031.538988207445	0.0	-20.12458751932891
19000	-37051.65963295993	-18.203826764920148	-37033.45580619501	0.2138574524443568	2.5683696214746385	0.7125815170756861	2.8057517287444185	0.3285218495655776	0.24988152040524403	0.12161740445117336	0.29997922557800505	1.0	1.0	-37033.45580619501	0.0	-18.160372627251753
20000	-37051.49923497529	-18.91519242027373	-37032.58404255501	0.2140427746924468	2.5837178391070315	0.7888245309668613	2.8057517287444185	0.33029430102547447	0.250042227574257	0.11968424582226356	0.29997922557800505	1.0	1.0	-37032.58404255501	0.0	-18.77008869623383
21000	-37060.05469839993	-21.832042490548695	-37038.22265590938	0.22671187375082685	2.6469670997136716	1.2371336571289215	2.8909386832856723	0.32913216897425485	0.250042227574257	0.1208463778734832	0.29997922557800505	1.0	1.0	-37038.22265590938	0.0	-21.206127964792916
22000	-37053.5976838718	-18.54651179710525	-37035.051172074694	0.22909363078106057	2.6006601265085414	0.6138439999027184	2.69733616984355	0.31932043329015597	0.2549798686426286	0.1264143306904653	0.2992853673767502	1.0	1.0	-37035.051172074694	0.0	-18.69191980733077
23000	-37060.743570513536	-21.09729333424088	-37039.646277179294	0.2255614441021118	2.631951160478223	1.2189399764858646	2.69733616984355	0.3324289916648368	0.24854297948957282	0.12374277426353593	0.2952852545820545	1.0	1.0	-37039.646277179294	0.0	-20.556705280205584
24000	-37046.05667283357	-19.23560738273889	-37026.82106545083	0.21985951557576738	2.6166786933868966	0.8673632619672368	2.69733616984355	0.33137653249594157	0.2514236311029805	0.11920905286649834	0.2979907835345797	1.0	1.0	-37026.82106545083	0.0	-19.035298340705495
25000	-37053.25570763298	-19.800584846891645	-37033.455122786094	0.2214502502213863	2.577638771088723	1.0626451810749538	2.925530503145165	0.3236372641800734	0.25511888423653584	0.12477972069164417	0.2964641308917467	1.0	1.0	-37033.455122786094	0.0	-19.31429756196842
26000	-37051.92738968425	-20.750210120784498	-37031.17717956346	0.22631587582413148	2.58471104278335	1.1589532067736912	2.634514799021807	0.32541288414989034	0.25732110007337733	0.1183889952030903	0.2988770205736421	1.0	1.0	-37031.17717956346	0.0	-20.283357767489218
27000	-37049.56707914401	-19.493322589846173	-37030.073756554164	0.22083092742218774	2.5855245907065436	0.9733660925368088	2.8306293043447868	0.31680679386837035	0.258388869514245	0.1237328255957073	0.30107151102167745	1.0	1.0	-37030.073756554164	0.0	-19.128971079361545
28000	-37059.675891500054	-19.87583562993666	-37039.80005587012	0.22870113519477256	2.629807128517329	1.0301406491062077	2.6578267472348243	0.31680679386837035	0.254531254588073	0.1237328255957073	0.30492912594784943	1.0	1.0	-37039.80005587012	0.0	-19.518147019074398
29000	-37049.69044304103	-18.18237910468729	-37031.508063936344	0.22591638556883714	2.5440468959363014	0.8867575445445639	2.7837602684514513	0.3213005938693851	0.254531254588073	0.12156352447028879	0.30260462707225316	1.0	1.0	-37031.508063936344	0.0	-17.928256237604877
30000	-37053.64718937179	-18.43030654597588	-37035.216882825815	0.21285210232326673	2.557019381585917	0.7447688392909545	2.909585676564984	0.32045533758679856	0.2546862117179758	0.11555903118640208	0.3092994195088236	1.0	1.0	-37035.216882825815	0.0	-18.305174485120567
31000	-37050.67837533852	-19.8588962348565	-37030.81947910366	0.2165772189307128	2.596779895256234	0.9219281178148412	2.688974333811497	0.3201235056057157	0.26067439214866367	0.11555903118640208	0.3036430710592186	1.0	1.0	-37030.81947910366	0.0	-19.60066420610092
32000	-37051.053486883786	-18.60287491019355	-37032.45061197359	0.22315539204611134	2.5655199363614822	0.8646606828670433	2.688974333811497	0.31907728285829784	0.26067439214866367	0.11967145423029896	0.30057687076273953	1.0	1.0	-37032.45061197359	0.0	-18.40877298280069
33000	-37050.737710323854	-19.411472287317107	-37031.326238036534	0.2229612093487205	2.589287706155363	1.030251008009287	2.688974333811497	0.32479324604531556	0.2513009144060579	0.11799373998069669	0.30591209956792986	1.0	1.0	-37031.326238036534	0.0	-19.042149767123593
34000	-37050.951804260156	-20.700786693808052	-37030.25101756635	0.21133872507372803	2.632439851131821	0.9573716542624198	2.7731597110323336	0.32522941004346834	0.2541802873058526	0.12209538120224937	0.2984949214484297	1.0	1.0	-37030.25101756635	0.0	-20.373912489765225
35000	-37053.295165357704	-19.980757948008485	-37033.31440740969	0.21040583148276898	2.5825228212043863	0.9852364476215921	2.8471958886944715	0.32522941004346834	0.25245244758575025	0.12154274958309501	0.30077539278768645	1.0	1.0	-37033.31440740969	0.0	-19.598287333033614
36000	-37048.032730767736	-18.799295554326026	-37029.23343521341	0.21901208345454948	2.616400468029366	0.8330766532453187	2.720937194526564	0.32522941004346834	0.25039995650122043	0.12123823663641317	0.3031323968188981	1.0	1.0	-37029.23343521341	0.0	-18.630625876607912
37000	-37051.10232093528	-20.427326378663246	-37030.67499455662	0.2208668551635972	2.725573039155696	0.7400850588166076	2.7977683899665564	0.322957370067435	0.2557006717675719	0.12064157436567147	0.3007003837993216	1.0	1.0	-37030.67499455662	0.0	-20.34890599442703
38000	-37050.6284158887	-19.384987031871066	-37031.243428856826	0.21852715949257706	2.6255162910116576	0.9100013378373278	2.697952351646624	0.32111144779907974	0.25754659403592717	0.12493199698645463	0.29640996117853846	1.0	1.0	-37031.243428856826	0.0	-19.136462495802512
39000	-37048.34403373313	-18.26811731561074	-37030.07591641752	0.21478823614121714	2.5533111415012755	0.7954422246060707	2.697952351646624	0.3261772407992762	0.2545334983832122	0.11780639956756454	0.3014828612499471	1.0	1.0	-37030.07591641752	0.0	-18.154140631836235
40000	-37047.90966478818	-18.240667655770284	-37029.66899713241	0.21664245684996397	2.5438970457589822	0.7853704559272309	2.7596623795845767	0.3218623268584734	0.258848412324015	0.12066155346629884	0.2986277073512128	1.0	1.0	-37029.66899713241	0.0	-18.116763404791612
41000	-37050.63475504903	-16.807090658139327	-37033.82766439089	0.2096697699350683	2.432719207013642	0.6307073054013426	2.7667871694813297	0.32812087717151284	0.25301470609794	0.1185365496153213	0.3003278671152259	1.0	1.0	-37033.82766439089	0.0	-16.899894541758144
42000	-37053.13625301365	-21.874368502310965	-37031.26188451134	0.2119103331372733	2.5050757376940913	1.3971187062675718	2.7667871694813297	0.32313715813510835	0.2585511821430975	0.1185365496153213	0.2997751101064729	1.0	1.0	-37031.26188451134	0.0	-21.171846954615855
43000	-37046.69688595637	-18.116367935257486	-37028.58051802112	0.2187779435656812	2.5531588289963523	0.7318932945876665	2.8208482403736705	0.32443062033526965	0.2594169521194522	0.1185365496153213	0.2976158779299569	1.0	1.0	-37028.58051802112	0.0	-18.040689262284612
44000	-37051.46866632397	-19.911852330542565	-37031.556813993426	0.22442732146519195	2.589849182640004	1.1015611358710997	2.7080381107545417	0.32326974150337084	0.25106429056443147	0.12185804109566381	0.30380792683653396	1.0	1.0	-37031.556813993426	0.0	-19.46857233728441
45000	-37063.27806323513	-20.2773127650537	-37043.00075047008	0.2238176539289278	2.6883592154934393	0.8454086897508921	2.576538448750361	0.31986617092074787	0.2554085192108711	0.12185804109566381	0.3028672687727173	1.0	1.0	-37043.00075047008	0.0	-20.147560708248147
46000	-37057.14400088473	-21.40464199618828	-37035.73935888854	0.22154889715958426	2.700070898482019	1.041477575198392	2.8288570491097436	0.32595574651972964	0.25424123966507295	0.12185804109566381	0.2979449727195337	1.0	1.0	-37035.73935888854	0.0	-20.97329742236972
47000	-37056.90712467978	-23.061763947540886	-37033.845360732244	0.21564125265366257	2.7060456387145497	1.236954509827278	2.6522674064199214	0.3236700010890276	0.2565891604076707	0.11696215548741333	0.3027786830158884	1.0	1.0	-37033.845360732244	0.0	-22.523180698248265
48000	-37047.34211972383	-21.764756082923295	-37025.57736364091	0.22204547546556336	2.6805881756995418	1.1216415950030918	2.7664861541047374	0.3236700010890276	0.2565891604076707	0.11696215548741333	0.3027786830158884	1.0	1.0	-37025.57736364091	0.0	-21.28196329185875
49000	-37047.079160970214	-19.79265219572955	-37027.28650877449	0.21423788702208188	2.597806360561028	0.7626589468456035	2.6074499831974376	0.31740489479286843	0.2580173281303261	0.12179909406091714	0.3027786830158884	1.0	1.0	-37027.28650877449	0.0	-19.754346686447807
50000	-37054.996973301764	-20.43642873337264	-37034.56054456839	0.22409634160812814	2.6383727959567325	0.6688118949175789	2.700207602160927	0.32042886288684624	0.2607190722605845	0.11644990883677953	0.3024021560157898	1.0	1.0	-37034.56054456839	0.0	-20.495015648135066
