# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Apr 30 11:20:43 CDT 2022 [seed=1651335642522]
# cytb_species.xml
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-34039.021468512925	-21.41954083676992	-34017.60192767616	2.1218987125852107	7.817669875374439	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	1.0	-34017.60192767616	0.0	-21.34594027208354
1000	-16599.91624390053	-24.703386835170427	-16575.21285706536	0.7712549927653001	4.350814117043117	0.930440958483528	2.9594958955246136	0.2554811305905494	0.24751095514330465	0.24451886960945063	0.25248904465669536	1.0	1.0	-16575.21285706536	0.0	-24.33782889707344
2000	-15733.397299484797	-23.351327978416805	-15710.04597150638	0.7063962682495882	4.2543833132553175	1.085585184232763	3.1798542907517118	0.25671789784793253	0.24884277576825847	0.2343143099787103	0.26012501640509883	1.0	1.0	-15710.04597150638	0.0	-22.75417965887953
3000	-15523.471024862767	-20.893071339763324	-15502.577953523003	0.7208447967972681	4.157376450346804	0.8614625501901318	3.1798542907517118	0.24669668456812527	0.26543145263401957	0.2177639191059254	0.27010794369192986	1.0	1.0	-15502.577953523003	0.0	-20.527165896562437
4000	-15515.586230918012	-21.67400385014193	-15493.91222706787	0.6837089396850954	4.0832658779704625	0.73162456879722	3.1039356239121134	0.24503975107525944	0.2647485934546881	0.21841854559180962	0.27179310987824296	1.0	1.0	-15493.91222706787	0.0	-21.497865654799313
5000	-15512.531008502952	-24.486751739663816	-15488.044256763289	0.7762488433089436	4.318818894949133	1.4814696802365648	3.19693827948599	0.24503975107525944	0.26511337431674686	0.21841854559180962	0.2714283290161842	1.0	1.0	-15488.044256763289	0.0	-23.572782777345086
6000	-15485.531026329134	-20.59576876142329	-15464.935257567711	0.7249422237440668	4.085256716043877	0.7047644526931083	3.2701240701865615	0.26179370182221934	0.24958343897639776	0.21303527254108906	0.275587586660294	1.0	1.0	-15464.935257567711	0.0	-20.399578225771673
7000	-15440.912351875213	-20.2281464700445	-15420.684205405169	0.727427261595589	4.050699662448347	0.7738946738277103	3.1715613189332768	0.2758517585705141	0.262175663440962	0.17663151391739493	0.28534106407112914	1.0	1.0	-15420.684205405169	0.0	-19.972308140395445
8000	-15434.631308037431	-21.48823792982355	-15413.143070107608	0.7629050323095404	4.292247748688831	0.8278137337926995	3.4176579155042024	0.2846255928467641	0.262175663440962	0.16785767964114495	0.28534106407112914	1.0	1.0	-15413.143070107608	0.0	-21.081152329040453
9000	-15445.084667482652	-22.023995122383393	-15423.060672360269	0.7655794200628618	4.255648073301963	0.6947970912998119	3.92741271881612	0.28695927110144775	0.266396887209459	0.15689020992810523	0.28975363176098823	1.0	1.0	-15423.060672360269	0.0	-21.626495896245938
10000	-15437.953291482876	-21.53418118453751	-15416.419110298339	0.7277152556003371	4.15369041183308	0.7081222741905151	3.43236406965941	0.2786826329551449	0.26688078795109743	0.16163699223581166	0.2927995868579462	1.0	1.0	-15416.419110298339	0.0	-21.278338139874364
11000	-15438.806971686308	-21.154155973283192	-15417.652815713025	0.7747317469545958	4.292677401320116	0.8808468026058391	3.43236406965941	0.2776949976722898	0.27140082608429805	0.1531048385032431	0.29779933774016926	1.0	1.0	-15417.652815713025	0.0	-20.68004599059087
12000	-15429.377935813425	-21.335358575855167	-15408.04257723757	0.6832344551946865	4.091295365882983	0.9382299971828479	3.404940500510483	0.27312903118675025	0.2718088728370555	0.1591823115773239	0.2958797843988704	1.0	1.0	-15408.04257723757	0.0	-20.807335884245497
13000	-15433.424791421556	-22.3184658533899	-15411.106325568166	0.7448346334637279	4.225124941011419	1.1342578637493637	3.2847189498720235	0.2809137242502302	0.2607670471423996	0.1605440324925917	0.29777519611477854	1.0	1.0	-15411.106325568166	0.0	-21.641418826689236
14000	-15433.737202118404	-21.239872898321117	-15412.497329220083	0.7199924688035128	4.116296434969021	0.9799436617658634	3.501980289625453	0.2843494456139622	0.26946546169144464	0.1577143221851024	0.28847077050949077	1.0	1.0	-15412.497329220083	0.0	-20.635945752164485
15000	-15428.844577661172	-20.649385021322157	-15408.195192639849	0.7109963477898898	4.074874806347924	0.8532257449668307	3.2942930598792746	0.27471460247741897	0.2729717199721838	0.16281116305457477	0.2895025144958225	1.0	1.0	-15408.195192639849	0.0	-20.253781893739987
16000	-15437.823169114188	-21.008459861611932	-15416.814709252576	0.6941734320947088	4.030273667423591	1.0254459894609167	3.285051452535079	0.2676115644202976	0.27000674074611636	0.1651875306679619	0.2971941641656241	1.0	1.0	-15416.814709252576	0.0	-20.432150290511874
17000	-15434.969617277615	-20.79311496462737	-15414.176502312988	0.6899337480752535	4.064718914711983	0.7677927075951022	3.400986820536701	0.28222700997129646	0.2599735568437723	0.160136071954637	0.2976633612302942	1.0	1.0	-15414.176502312988	0.0	-20.46689648258838
18000	-15435.497643637267	-24.154990307600514	-15411.342653329666	0.7005220356410441	4.151473873038406	1.431032852626657	3.318679539976264	0.27996610959968543	0.26372079984836005	0.1638791940529859	0.29243389649896856	1.0	1.0	-15411.342653329666	0.0	-23.233959626568492
19000	-15432.726762448208	-21.161082145158687	-15411.565680303049	0.7447156894141646	4.2511778003863965	0.8446242828508684	3.4939159601080014	0.27996610959968543	0.27871913310029217	0.15730671296074553	0.2840080443392768	1.0	1.0	-15411.565680303049	0.0	-20.708435716920135
20000	-15429.326400255288	-22.064873641115824	-15407.261526614171	0.793087455510473	4.475405094706865	0.8137718395419375	3.64668000334388	0.28006976279112894	0.26964449177180855	0.15894811643031326	0.2913376290067492	1.0	1.0	-15407.261526614171	0.0	-21.599183979448735
21000	-15432.25874138255	-21.08222105586463	-15411.176520326684	0.7792385283269718	4.25367148146176	0.6865339256391705	3.4942486110093065	0.2800636186590476	0.27180453801633303	0.15894811643031326	0.28918372689430605	1.0	1.0	-15411.176520326684	0.0	-20.836700376192766
22000	-15426.002226864748	-21.51220299313312	-15404.490023871615	0.7245521534266165	4.215446315666557	0.8851592717954048	3.4942486110093065	0.2828440746966401	0.27482748625867914	0.15570290675242582	0.2866255322922549	1.0	1.0	-15404.490023871615	0.0	-21.012570358767594
23000	-15437.58939773759	-22.49647120392316	-15415.092926533667	0.7148717195816625	4.115156526392252	1.1902148389581213	3.5576905339797373	0.28827537850025786	0.2577653836714127	0.15641098381291488	0.29754825401541446	1.0	1.0	-15415.092926533667	0.0	-21.679728414575326
